alias	population	latitude	longitude	ploidy_man_curated	Species_fin	ENA accession	Project
PU_4mix-1	Northern_Ural_4n	66.93139	65.59633	4	A. lyrata	ERR12742575	PRJEB67879
PU_4mix-2	Northern_Ural_4n	66.93139	65.59633	4	A. lyrata	ERR12742574	PRJEB67879
PU_5mix-1	Northern_Ural_4n	66.94763	65.52093	4	A. lyrata	ERR12742573	PRJEB67879
PU_5mix-2	Northern_Ural_4n	66.94763	65.52093	4	A. lyrata	ERR12742572	PRJEB67879
PU_6.1-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742571	PRJEB67879
PU_6.1-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742570	PRJEB67879
PU_6.2-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742569	PRJEB67879
PU_6.2-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742568	PRJEB67879
PU_6.3-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742567	PRJEB67879
PU_6.3-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742566	PRJEB67879
PU_6.4-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742565	PRJEB67879
PU_6.4-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742564	PRJEB67879
PU_6.5-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742563	PRJEB67879
PU_6.5-2_4n	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742562	PRJEB67879
PU_6.6-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742561	PRJEB67879
PU_6.6-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742560	PRJEB67879
PU_6.7-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742559	PRJEB67879
PU_6.7-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742558	PRJEB67879
PU_6.8-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742557	PRJEB67879
PU_6.8-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742556	PRJEB67879
PU_6mix-1	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742555	PRJEB67879
PU_6mix-2	Northern_Ural_4n	67.02145	65.13496	4	A. lyrata	ERR12742554	PRJEB67879
PU_7.1-1	Northern_Ural_4n	67.00682	65.13496	4	A. lyrata	ERR12742553	PRJEB67879
PU_7.1-2	Northern_Ural_4n	67.00682	65.08945	4	A. lyrata	ERR12742552	PRJEB67879
PU_7.2-1	Northern_Ural_4n	67.00682	65.08945	4	A. lyrata	ERR12742551	PRJEB67879
PU_7.2-2	Northern_Ural_4n	67.00682	65.08945	4	A. lyrata	ERR12742550	PRJEB67879
PU_7mix-1	Northern_Ural_4n	67.00682	65.08945	4	A. lyrata	ERR12742549	PRJEB67879
PU_7mix-2	Northern_Ural_4n	67.00682	65.08945	4	A. lyrata	ERR12742548	PRJEB67879
TE_10.1-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742547	PRJEB67879
TE_10.1-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742546	PRJEB67879
TE_10.2-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742545	PRJEB67879
TE_10.2-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742544	PRJEB67879
TE_10.3-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742543	PRJEB67879
TE_10.4-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742542	PRJEB67879
TE_10.4-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742541	PRJEB67879
TE_10.5-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742540	PRJEB67879
TE_10.5-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742539	PRJEB67879
TE_10.6-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742538	PRJEB67879
TE_10.6-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742537	PRJEB67879
TE_10.7-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742536	PRJEB67879
TE_10.7-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742535	PRJEB67879
TE_10.8-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742534	PRJEB67879
TE_10.8-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742533	PRJEB67879
TE_10.9-1	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742532	PRJEB67879
TE_10.9-2	West_Siberia_2n	68.91428	77.66211	2	A. lyrata	ERR12742531	PRJEB67879
TE_11.1-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742530	PRJEB67879
TE_11.10-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742529	PRJEB67879
TE_11.10-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742528	PRJEB67879
TE_11.2-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742527	PRJEB67879
TE_11.2-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742526	PRJEB67879
TE_11.3-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742525	PRJEB67879
TE_11.3-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742524	PRJEB67879
TE_11.4-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742523	PRJEB67879
TE_11.4-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742522	PRJEB67879
TE_11.5-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742521	PRJEB67879
TE_11.5-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742520	PRJEB67879
TE_11.6-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742519	PRJEB67879
TE_11.6-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742518	PRJEB67879
TE_11.7-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742517	PRJEB67879
TE_11.7-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742516	PRJEB67879
TE_11.8-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742515	PRJEB67879
TE_11.8-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742514	PRJEB67879
TE_11.9-1	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742513	PRJEB67879
TE_11.9-2	West_Siberia_2n	68.94298	77.75131	2	A. lyrata	ERR12742512	PRJEB67879
TE_3.1-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742511	PRJEB67879
TE_3.1-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742510	PRJEB67879
TE_3.2-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742509	PRJEB67879
TE_3.2-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742508	PRJEB67879
TE_3.3-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742507	PRJEB67879
TE_3.3-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742506	PRJEB67879
TE_3.4-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742505	PRJEB67879
TE_3.4-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742504	PRJEB67879
TE_3.5-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742503	PRJEB67879
TE_3.5-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742502	PRJEB67879
TE_3.6-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742501	PRJEB67879
TE_3.6-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742500	PRJEB67879
TE_3.7-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742499	PRJEB67879
TE_3.7-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742498	PRJEB67879
TE_3.8-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742497	PRJEB67879
TE_3.8-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742496	PRJEB67879
TE_3.9-1	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742495	PRJEB67879
TE_3.9-2	West_Siberia_2n	68.72591	77.74032	2	A. lyrata	ERR12742494	PRJEB67879
TE_4.10-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742493	PRJEB67879
TE_4.10-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742492	PRJEB67879
TE_4.11-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742491	PRJEB67879
TE_4.11-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742490	PRJEB67879
TE_4.2-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742489	PRJEB67879
TE_4.2-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742488	PRJEB67879
TE_4.3-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742487	PRJEB67879
TE_4.3-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742486	PRJEB67879
TE_4.4-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742485	PRJEB67879
TE_4.4-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742484	PRJEB67879
TE_4.5-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742483	PRJEB67879
TE_4.5-2	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742482	PRJEB67879
TE_4.6-1	West_Siberia_2n	68.79245	77.68399	2	A. lyrata	ERR12742481	PRJEB67879
