ID	load	families_present	Lat	Long
SRR189268	126	0.9767441860465116	12	13
SRR189269	125	0.9689922480620154	-2	28
SRR189270	127	0.9844961240310077	-2	28
SRR189272	127	0.9844961240310077	-9	33
SRR189273	128	0.9922480620155039	-9	33
SRR189274	125	0.9689922480620154	-9	33
SRR189277	127	0.9844961240310077	-24	31
SRR189279	128	0.9922480620155039	-24	31
SRR189281	123	0.9534883720930233	-24	31
SRR189283	126	0.9767441860465116	-12	26
SRR189374	126	0.9767441860465116	-2	29
SRR189375	127	0.9844961240310077	-2	29
SRR189377	127	0.9844961240310077	-2	29
SRR189378	126	0.9767441860465116	-2	29
SRR189380	127	0.9844961240310077	-2	29
SRR189381	129	1	-2	29
SRR189382	125	0.9689922480620154	-2	29
SRR189383	125	0.9689922480620154	-2	29
SRR189385	126	0.9767441860465116	-2	29
SRR189386	128	0.9922480620155039	-2	29
SRR189387	125	0.9689922480620154	-2	29
SRR189388	126	0.9767441860465116	-2	29
SRR189389	128	0.9922480620155039	-2	29
SRR189390	128	0.9922480620155039	-2	29
SRR189391	127	0.9844961240310077	-2	29
SRR189392	126	0.9767441860465116	-2	29
SRR189393	128	0.9922480620155039	-2	29
SRR189395	128	0.9922480620155039	-2	29
SRR189398	125	0.9689922480620154	-2	29
SRR189400	125	0.9689922480620154	-2	29
SRR189407	124	0.9612403100775194	-2	29
SRR189408	126	0.9767441860465116	-18	28
SRR189409	127	0.9844961240310077	-18	28
SRR189411	125	0.9689922480620154	-18	28
SRR189412	126	0.9767441860465116	1	33
SRR189414	128	0.9922480620155039	12	13
SRR189415	127	0.9844961240310077	1	33
SRR189416	124	0.9612403100775194	1	33
SRR189420	127	0.9844961240310077	-17	29
SRR189421	128	0.9922480620155039	-17	29
SRR189422	128	0.9922480620155039	-17	29
SRR189423	125	0.9689922480620154	-17	29
SRR189424	124	0.9612403100775194	-17	29
SRR189425	128	0.9922480620155039	-17	29
SRR189426	126	0.9767441860465116	-17	29
SRR218317	124	0.9612403100775194	-2	14
SRR23103753	128	0.9922480620155039	36	116
SRR23103754	129	1	36	103
SRR23103755	128	0.9922480620155039	36	116
SRR23103756	127	0.9844961240310077	36	116
SRR23103757	128	0.9922480620155039	36	116
SRR23103759	129	1	36	116
SRR23103760	128	0.9922480620155039	42	129
SRR23103761	127	0.9844961240310077	42	129
SRR23103762	128	0.9922480620155039	42	129
SRR23103763	129	1	42	129
SRR23103764	128	0.9922480620155039	42	129
SRR23103766	127	0.9844961240310077	43	87
SRR23103767	128	0.9922480620155039	31	120
SRR23103768	129	1	37	120
SRR23103769	128	0.9922480620155039	31	120
SRR23103770	127	0.9844961240310077	34	105
SRR23103771	128	0.9922480620155039	34	105
SRR23103772	129	1	34	105
SRR23103773	128	0.9922480620155039	34	105
SRR23103774	127	0.9844961240310077	34	105
SRR23103775	128	0.9922480620155039	36	101
SRR23103777	129	1	42	118
SRR23103778	128	0.9922480620155039	42	118
SRR23103779	127	0.9844961240310077	36	117
SRR23103780	128	0.9922480620155039	42	118
SRR23103781	129	1	36	103
SRR23103782	127	0.9844961240310077	42	118
SRR23103783	127	0.9844961240310077	46	130
SRR23103784	127	0.9844961240310077	46	130
SRR23103785	129	1	36	100
SRR23103786	128	0.9922480620155039	36	100
SRR23103787	127	0.9844961240310077	47	123
SRR23103788	128	0.9922480620155039	47	123
SRR23103789	128	0.9922480620155039	47	123
SRR23103790	128	0.9922480620155039	47	123
SRR23103791	127	0.9844961240310077	47	123
SRR23103793	128	0.9922480620155039	38	100
SRR23103794	129	1	38	100
SRR23103795	128	0.9922480620155039	40	110
SRR23103796	127	0.9844961240310077	40	124
SRR23103797	128	0.9922480620155039	38	100
SRR23103798	129	1	38	100
SRR23103799	128	0.9922480620155039	37	120
SRR23103800	127	0.9844961240310077	37	120
SRR23103801	128	0.9922480620155039	37	120
SRR23103802	129	1	37	120
SRR23103803	128	0.9922480620155039	37	120
SRR23103806	127	0.9844961240310077	30	109
SRR23103807	128	0.9922480620155039	43	89
SRR23103808	129	1	40	124
SRR23103809	128	0.9922480620155039	43	89
SRR23103810	127	0.9844961240310077	39	116
SRR23103811	128	0.9922480620155039	39	116
SRR23103812	129	1	39	116
SRR23103813	128	0.9922480620155039	39	116
SRR23103814	127	0.9844961240310077	39	116
SRR23103815	128	0.9922480620155039	40	86
SRR23103816	129	1	40	86
SRR23103817	128	0.9922480620155039	36	103
SRR23103818	127	0.9844961240310077	42	128
SRR23103819	128	0.9922480620155039	53	122
SRR23103820	129	1	53	122
SRR23103821	128	0.9922480620155039	53	122
SRR23103822	127	0.9844961240310077	53	122
SRR23103824	128	0.9922480620155039	53	122
SRR23103825	129	1	43	125
SRR23103826	128	0.9922480620155039	43	125
SRR23103827	127	0.9844961240310077	43	125
SRR23103829	127	0.9844961240310077	40	111
SRR23103830	128	0.9922480620155039	43	125
SRR23103833	128	0.9922480620155039	49	119
SRR23103834	127	0.9844961240310077	39	98
SRR23103835	128	0.9922480620155039	49	119
SRR23103836	129	1	49	119
SRR23103837	128	0.9922480620155039	41	123
SRR23103839	127	0.9844961240310077	41	123
SRR23103840	128	0.9922480620155039	41	123
SRR23103841	129	1	40	111
SRR23103842	128	0.9922480620155039	41	123
SRR23103843	127	0.9844961240310077	30	120
SRR23103844	128	0.9922480620155039	30	120
SRR23103845	129	1	39	98
SRR23103847	128	0.9922480620155039	39	100
SRR23103848	127	0.9844961240310077	39	100
SRR23103849	128	0.9922480620155039	28	113
SRR23103851	129	1	29	106
SRR23103852	128	0.9922480620155039	29	106
SRR23103853	127	0.9844961240310077	29	106
SRR23103854	127	0.9844961240310077	29	106
SRR23103855	129	1	30	105
SRR23103857	128	0.9922480620155039	30	105
SRR23103858	127	0.9844961240310077	36	117
SRR23103859	128	0.9922480620155039	30	105
SRR23103860	128	0.9922480620155039	31	120
SRR23103861	127	0.9844961240310077	30	105
SRR23103862	127	0.9844961240310077	29	91
SRR23103863	128	0.9922480620155039	29	91
SRR23103866	129	1	29	91
SRR23103867	128	0.9922480620155039	29	91
SRR23103868	127	0.9844961240310077	29	91
SRR23103869	128	0.9922480620155039	36	117
SRR23103870	129	1	29	91
SRR23103871	128	0.9922480620155039	29	91
SRR23103872	127	0.9844961240310077	40	107
SRR23103873	128	0.9922480620155039	29	91
SRR23103874	129	1	29	91
SRR23103875	128	0.9922480620155039	29	91
SRR23103876	127	0.9844961240310077	29	91
SRR23103877	128	0.9922480620155039	29	91
SRR23103878	129	1	29	91
SRR23103880	128	0.9922480620155039	36	117
SRR23103881	127	0.9844961240310077	46	130
SRR23103882	128	0.9922480620155039	46	130
SRR23103883	129	1	46	130
SRR23103884	128	0.9922480620155039	45	126
SRR23103885	127	0.9844961240310077	45	126
SRR23103886	128	0.9922480620155039	36	117
SRR23103887	129	1	45	126
SRR23103888	128	0.9922480620155039	45	126
SRR23103889	127	0.9844961240310077	36	103
SRR23103890	127	0.9844961240310077	45	126
SRR23103892	128	0.9922480620155039	43	87
SRR23103893	128	0.9922480620155039	43	87
SRR23103894	127	0.9844961240310077	43	87
SRR23103895	128	0.9922480620155039	43	87
SRR23103896	129	1	48	130
SRR23103898	127	0.9844961240310077	48	130
