Species	te	present_in
D.mel.A3.fa	DMRER2DM	49
D.mel.A3.fa	DM14101	28
D.mel.A3.fa	DMPOGOR11	49
D.mel.A3.fa	Tinker	49
D.mel.A3.fa	DMMDG3	49
D.mel.A3.fa	OPUS	49
D.mel.A3.fa	DMBARI1	49
D.mel.A3.fa	TABOR	49
D.mel.A3.fa	SPRINGER	49
D.mel.A3.fa	G2	49
D.mel.A3.fa	DMW1DOC	49
D.mel.A3.fa	FROGGER	49
D.mel.A3.fa	Q	5
D.mel.A3.fa	GYPSY2	48
D.mel.A3.fa	DMZAM	47
D.mel.A3.fa	DMGYPF1A	49
D.mel.A3.fa	GYPSY6	49
D.mel.A3.fa	DME487856	49
D.mel.A3.fa	FW3	49
D.mel.A3.fa	DIVER2	49
D.mel.A3.fa	TRANSIB4	49
D.mel.A3.fa	ROXELEMENT	49
D.mel.A3.fa	GYPSY7	48
D.mel.A3.fa	G7	48
D.mel.A3.fa	DOC5	49
D.mel.A3.fa	GYPSY10	49
D.mel.A3.fa	QBERT	48
D.mel.A3.fa	G5_DM	49
D.mel.A3.fa	GYPSY3	47
D.mel.A3.fa	GYPSY12	49
D.mel.A3.fa	INVADER6	49
D.mel.A3.fa	LOOPER1_DM	48
D.mel.A3.fa	TRANSIB2	49
D.mel.A3.fa	DMRTMGD1	49
D.mel.A3.fa	STALKER4	49
D.mel.A3.fa	DMU89994	49
D.mel.A3.fa	DMTNFB	49
D.mel.A3.fa	F	49
D.mel.A3.fa	TIRANT	42
D.mel.A3.fa	QUASIMODO	49
D.mel.A3.fa	STALKER2	49
D.mel.A3.fa	DME9736	49
D.mel.A3.fa	HOPPER2	49
D.mel.A3.fa	FB	13
D.mel.A3.fa	RT1B	49
D.mel.A3.fa	HEL	49
D.mel.A3.fa	S2	49
D.mel.A3.fa	INVADER2	49
D.mel.A3.fa	DMCR1A	49
D.mel.A3.fa	DMTHB1	49
D.mel.A3.fa	RT1C	49
D.mel.A3.fa	ACCORD	49
D.mel.A3.fa	GYPSY8	42
D.mel.A3.fa	TRANSIB1	49
D.mel.A3.fa	G3	48
D.mel.A3.fa	R1-2	49
D.mel.A3.fa	G5A	49
D.mel.A3.fa	STALKER	47
D.mel.A3.fa	DOC2	49
D.mel.A3.fa	GYPSY4	49
D.mel.A3.fa	DOC3	49
D.mel.A3.fa	DMTOM1_LTR	49
D.mel.A3.fa	BS3	49
D.mel.A3.fa	TC1-2	49
D.mel.A3.fa	IVK	49
D.mel.A3.fa	DOC4	49
D.mel.A3.fa	GYPSY11	48
D.mel.A3.fa	OSV	49
D.mel.A3.fa	ROOA_LTR	48
D.mel.A3.fa	G4_DM	49
D.mel.A3.fa	1360	49
D.mel.A3.fa	McCLINTOCK	49
D.mel.A3.fa	FW2	49
D.mel.A3.fa	GYPSY5	45
D.mel.A3.fa	BS4	49
D.mel.A3.fa	DM33463	49
D.mel.A3.fa	TC3	49
D.mel.A3.fa	TC1	49
D.mel.A3.fa	INVADER3	49
D.mel.A3.fa	DM_ROO	49
D.mel.A3.fa	DME278684	49
D.mel.A3.fa	DMIFACA	49
D.mel.A3.fa	BS	49
D.mel.A3.fa	DMCOPIA	49
D.mel.A3.fa	Beagle2	49
D.mel.A3.fa	Beagle	49
D.mel.A3.fa	ROVER	49
D.mel.A3.fa	AF222049	49
D.mel.A3.fa	DMLINEJA	49
D.mel.A3.fa	412	49
D.mel.A3.fa	DMBLPP	49
D.mel.A3.fa	INE1	49
D.mel.A3.fa	AF541951	49
D.mel.A3.fa	JOCKEY2	49
D.mel.A3.fa	TAHRE	49
D.mel.A3.fa	DM06920	49
D.mel.A3.fa	DMRER1DM	49
D.mel.A3.fa	GYPSY9	25
D.mel.A3.fa	TARTC	35
D.mel.A3.fa	AY561850	33
D.mel.A3.fa	G6_DM	49
D.mel.A3.fa	INVADER4	49
D.mel.A4.fa	BS	49
D.mel.A4.fa	GYPSY5	45
D.mel.A4.fa	DME278684	49
D.mel.A4.fa	ROVER	49
D.mel.A4.fa	DMTRDNA	49
D.mel.A4.fa	DMLINEJA	49
D.mel.A4.fa	STALKER4	49
D.mel.A4.fa	412	49
D.mel.A4.fa	GTWIN	49
D.mel.A4.fa	TIRANT	42
D.mel.A4.fa	INVADER5	48
D.mel.A4.fa	TRANSIB3	49
D.mel.A4.fa	DM88	49
D.mel.A4.fa	BAGGINS	49
D.mel.A4.fa	HELITRON1_DM	49
D.mel.A4.fa	DMREPG	49
D.mel.A4.fa	TARTC	35
D.mel.A4.fa	DMU89994	49
D.mel.A4.fa	DMIS176	49
D.mel.A4.fa	DMPOGOR11	49
D.mel.A4.fa	DMHFL1	41
D.mel.A4.fa	RT1B	49
D.mel.A4.fa	Beagle	49
D.mel.A4.fa	OPUS	49
D.mel.A4.fa	MARINER2	49
D.mel.A4.fa	Beagle2	49
D.mel.A4.fa	FROGGER	49
D.mel.A4.fa	STALKER2	49
D.mel.A4.fa	DOC5	49
D.mel.A4.fa	McCLINTOCK	49
D.mel.A4.fa	ACCORD	49
