Species	te	present_in
D.mel.A7.fa	DM14101	28
D.mel.A7.fa	DMTNFB	49
D.mel.A7.fa	G2	49
D.mel.A7.fa	RT1B	49
D.mel.A7.fa	STALKER2	49
D.mel.A7.fa	OPUS	49
D.mel.A7.fa	DMIFACA	49
D.mel.AB8.fa	TAHRE	49
D.mel.AB8.fa	DM_ROO	49
D.mel.AB8.fa	Tinker	49
D.mel.AB8.fa	QUASIMODO	49
D.mel.AB8.fa	STALKER4	49
D.mel.AB8.fa	DMTRDNA	49
D.mel.AB8.fa	DMCOPIA	49
D.mel.AB8.fa	STALKER2	49
D.mel.AB8.fa	STALKER3	49
D.mel.AB8.fa	DME487856	49
D.mel.AB8.fa	INVADER	49
D.mel.AB8.fa	G6_DM	49
D.mel.AB8.fa	DMHFL1	41
D.mel.AB8.fa	INVADER5	48
D.mel.AB8.fa	TRANSIB3	49
D.mel.AB8.fa	TC1	49
D.mel.AB8.fa	DM88	49
D.mel.AB8.fa	BAGGINS	49
D.mel.AB8.fa	HELITRON1_DM	49
D.mel.AB8.fa	DMGYPF1A	49
D.mel.AB8.fa	DMAURA	49
D.mel.AB8.fa	DMREPG	49
D.mel.AB8.fa	DMBLPP	49
D.mel.AB8.fa	DME010298	49
D.mel.AB8.fa	DMPOGOR11	49
D.mel.AB8.fa	DMTNFB	49
D.mel.AB8.fa	DMBARI1	49
D.mel.AB8.fa	G2	49
D.mel.AB8.fa	MARINER2	49
D.mel.AB8.fa	FROGGER	49
D.mel.AB8.fa	Beagle2	49
D.mel.AB8.fa	DOC5	49
D.mel.AB8.fa	Q	5
D.mel.AB8.fa	G5A	49
D.mel.AB8.fa	QBERT	48
D.mel.AB8.fa	GYPSY5	45
D.mel.AB8.fa	GYPSY6	49
D.mel.AB8.fa	FW3	49
D.mel.AB8.fa	DIVER2	49
D.mel.AB8.fa	GYPSY8	42
D.mel.AB8.fa	GYPSY7	48
D.mel.AB8.fa	G7	48
D.mel.AB8.fa	GYPSY10	49
D.mel.AB8.fa	G5_DM	49
D.mel.AB8.fa	GYPSY3	47
D.mel.AB8.fa	GYPSY12	49
D.mel.AB8.fa	INVADER6	49
D.mel.AB8.fa	LOOPER1_DM	48
D.mel.AB8.fa	DMRTMGD1	49
D.mel.AB8.fa	AF222049	49
D.mel.AB8.fa	SPRINGER	49
D.mel.AB8.fa	ROVER	49
D.mel.AB8.fa	DMMDG3	49
D.mel.AB8.fa	Beagle	49
D.mel.AB8.fa	F	49
D.mel.AB8.fa	FB	13
D.mel.AB8.fa	DM23420	49
D.mel.AB8.fa	DMZAM	47
D.mel.AB8.fa	PPI251	28
D.mel.AB8.fa	OPUS	49
D.mel.AB8.fa	DMW1DOC	49
D.mel.AB8.fa	BLOOD	49
D.mel.AB8.fa	412	49
D.mel.AB8.fa	HOPPER2	49
D.mel.AB8.fa	McCLINTOCK	49
D.mel.AB8.fa	IVK	49
D.mel.AB8.fa	HEL	49
D.mel.AB8.fa	DME9736	49
D.mel.AB8.fa	TIRANT	42
D.mel.AB8.fa	DMTHB1	49
D.mel.AB8.fa	TRANSIB1	49
D.mel.AB8.fa	G3	48
D.mel.AB8.fa	TRANSIB2	49
D.mel.AB8.fa	R1-2	49
D.mel.AB8.fa	DMTN1731	49
D.mel.AB8.fa	INVADER4	49
D.mel.AB8.fa	RT1C	49
D.mel.AB8.fa	S2	49
D.mel.AB8.fa	ROXELEMENT	49
D.mel.AB8.fa	DOC2	49
D.mel.AB8.fa	DMTOM1_LTR	49
D.mel.AB8.fa	GYPSY9	25
D.mel.AB8.fa	GYPSY2	48
D.mel.AB8.fa	INVADER2	49
D.mel.AB8.fa	BS3	49
D.mel.AB8.fa	DMCR1A	49
D.mel.AB8.fa	TC1-2	49
D.mel.AB8.fa	1360	49
D.mel.AB8.fa	TRANSIB4	49
D.mel.AB8.fa	DOC3	49
D.mel.AB8.fa	DOC4	49
D.mel.AB8.fa	GYPSY11	48
D.mel.AB8.fa	OSV	49
D.mel.AB8.fa	ROOA_LTR	48
D.mel.AB8.fa	G4_DM	49
D.mel.AB8.fa	DMU89994	49
D.mel.AB8.fa	JUAN	49
D.mel.AB8.fa	FW2	49
D.mel.AB8.fa	BS4	49
D.mel.AB8.fa	DM33463	49
D.mel.AB8.fa	TC3	49
D.mel.AB8.fa	INVADER3	49
D.mel.AB8.fa	BS	49
D.mel.AB8.fa	DMLINEJA	49
D.mel.AB8.fa	DMIS297	49
D.mel.AB8.fa	DMIS176	49
D.mel.AB8.fa	DMIFACA	49
D.mel.AB8.fa	GTWIN	49
D.mel.AB8.fa	DME278684	49
D.mel.AB8.fa	TABOR	49
D.mel.AB8.fa	RT1B	49
D.mel.AB8.fa	INE1	49
D.mel.AB8.fa	AF541951	49
D.mel.AB8.fa	JOCKEY2	49
D.mel.AB8.fa	AY561850	33
D.mel.AB8.fa	STALKER	47
D.mel.AB8.fa	DM06920	49
D.mel.AB8.fa	GYPSY4	49
D.mel.AB8.fa	DMRER1DM	49
D.mel.AB8.fa	ACCORD	49
D.mel.AB8.fa	CIRC	49
D.mel.AB8.fa	DMDM11	49
D.mel.AB8.fa	DMRER2DM	49
D.mel.AB8.fa	DM14101	28
D.mel.AB8.fa	TARTC	35
D.mel.AKA017.fa	DM06920	49
D.mel.AKA017.fa	DM14101	28
D.mel.AKA017.fa	PPI251	28
D.mel.AKA017.fa	DMCOPIA	49
D.mel.AKA017.fa	DMIS297	49
D.mel.AKA017.fa	DMBARI1	49
D.mel.AKA017.fa	OPUS	49
D.mel.AKA017.fa	DMTRDNA	49
D.mel.AKA017.fa	GTWIN	49
D.mel.AKA017.fa	GYPSY5	45
D.mel.AKA017.fa	STALKER3	49
D.mel.AKA017.fa	INVADER	49
D.mel.AKA017.fa	G6_DM	49
D.mel.AKA017.fa	INVADER5	48
D.mel.AKA017.fa	STALKER2	49
D.mel.AKA017.fa	TRANSIB3	49
D.mel.AKA017.fa	TC1	49
D.mel.AKA017.fa	MARINER2	49
D.mel.AKA017.fa	DM88	49
D.mel.AKA017.fa	BAGGINS	49
D.mel.AKA017.fa	HELITRON1_DM	49
D.mel.AKA017.fa	DMRER2DM	49
D.mel.AKA017.fa	CIRC	49
D.mel.AKA017.fa	DMRER1DM	49
D.mel.AKA017.fa	DMDM11	49
D.mel.AKA017.fa	DMAURA	49
D.mel.AKA017.fa	DMREPG	49
D.mel.AKA017.fa	DME010298	49
D.mel.AKA017.fa	TAHRE	49
D.mel.AKA017.fa	DM23420	49
D.mel.AKA017.fa	DMIFACA	49
D.mel.AKA017.fa	412	49
D.mel.AKA017.fa	BS	49
D.mel.AKA017.fa	F	49
D.mel.AKA017.fa	Beagle2	49
D.mel.AKA017.fa	FROGGER	49
D.mel.AKA017.fa	RT1B	49
D.mel.AKA017.fa	GYPSY6	49
D.mel.AKA017.fa	DMZAM	47
D.mel.AKA017.fa	FW3	49
D.mel.AKA017.fa	DIVER2	49
D.mel.AKA017.fa	SPRINGER	49
D.mel.AKA017.fa	GYPSY8	42
D.mel.AKA017.fa	GYPSY7	48
D.mel.AKA017.fa	G7	48
D.mel.AKA017.fa	DOC5	49
D.mel.AKA017.fa	GYPSY10	49
D.mel.AKA017.fa	QBERT	48
D.mel.AKA017.fa	G5_DM	49
D.mel.AKA017.fa	GYPSY3	47
D.mel.AKA017.fa	FB	13
D.mel.AKA017.fa	GYPSY12	49
D.mel.AKA017.fa	INVADER6	49
D.mel.AKA017.fa	LOOPER1_DM	48
D.mel.AKA017.fa	INVADER3	49
D.mel.AKA017.fa	TRANSIB2	49
D.mel.AKA017.fa	DMPOGOR11	49
D.mel.AKA017.fa	DMIS176	49
D.mel.AKA017.fa	DM_ROO	49
D.mel.AKA017.fa	AY561850	33
D.mel.AKA017.fa	DMHFL1	41
D.mel.AKA017.fa	HOPPER2	49
D.mel.AKA017.fa	DME487856	49
D.mel.AKA017.fa	HEL	49
D.mel.AKA017.fa	INVADER2	49
D.mel.AKA017.fa	STALKER4	49
D.mel.AKA017.fa	DMGYPF1A	49
D.mel.AKA017.fa	DMTHB1	49
D.mel.AKA017.fa	GYPSY9	25
D.mel.AKA017.fa	TRANSIB1	49
D.mel.AKA017.fa	G3	48
D.mel.AKA017.fa	BLOOD	49
D.mel.AKA017.fa	R1-2	49
D.mel.AKA017.fa	TARTC	35
D.mel.AKA017.fa	DMTN1731	49
D.mel.AKA017.fa	RT1C	49
D.mel.AKA017.fa	S2	49
D.mel.AKA017.fa	G5A	49
D.mel.AKA017.fa	INVADER4	49
D.mel.AKA017.fa	ROXELEMENT	49
D.mel.AKA017.fa	ROVER	49
D.mel.AKA017.fa	TRANSIB4	49
D.mel.AKA017.fa	G2	49
D.mel.AKA017.fa	DOC3	49
D.mel.AKA017.fa	GYPSY2	48
D.mel.AKA017.fa	DOC2	49
D.mel.AKA017.fa	DMTOM1_LTR	49
D.mel.AKA017.fa	ACCORD	49
D.mel.AKA017.fa	BS3	49
D.mel.AKA017.fa	DMCR1A	49
D.mel.AKA017.fa	GYPSY4	49
D.mel.AKA017.fa	1360	49
D.mel.AKA017.fa	TABOR	49
D.mel.AKA017.fa	DOC4	49
D.mel.AKA017.fa	Q	5
D.mel.AKA017.fa	GYPSY11	48
D.mel.AKA017.fa	OSV	49
D.mel.AKA017.fa	ROOA_LTR	48
D.mel.AKA017.fa	G4_DM	49
D.mel.AKA017.fa	McCLINTOCK	49
D.mel.AKA017.fa	STALKER	47
D.mel.AKA017.fa	FW2	49
D.mel.AKA017.fa	BS4	49
D.mel.AKA017.fa	DM33463	49
D.mel.AKA017.fa	TC3	49
D.mel.AKA017.fa	DMW1DOC	49
D.mel.AKA017.fa	QUASIMODO	49
D.mel.AKA017.fa	Tinker	49
D.mel.AKA017.fa	DMTNFB	49
D.mel.AKA017.fa	DME9736	49
D.mel.AKA017.fa	DMRTMGD1	49
D.mel.AKA017.fa	TIRANT	42
D.mel.AKA017.fa	IVK	49
D.mel.AKA017.fa	AF222049	49
D.mel.AKA017.fa	JUAN	49
D.mel.AKA017.fa	DMMDG3	49
D.mel.AKA017.fa	DMBLPP	49
D.mel.AKA017.fa	DME278684	49
D.mel.AKA017.fa	DMLINEJA	49
D.mel.AKA017.fa	INE1	49
D.mel.AKA017.fa	TC1-2	49
D.mel.AKA017.fa	AF541951	49
D.mel.AKA017.fa	JOCKEY2	49
D.mel.AKA017.fa	DMU89994	49
D.mel.AKA017.fa	Beagle	49
D.mel.AKA018.fa	AY561850	33
D.mel.AKA018.fa	DM06920	49
D.mel.AKA018.fa	DM14101	28
D.mel.AKA018.fa	DM23420	49
D.mel.AKA018.fa	DMMDG3	49
D.mel.AKA018.fa	DMTRDNA	49
D.mel.AKA018.fa	OPUS	49
D.mel.AKA018.fa	TABOR	49
D.mel.AKA018.fa	GTWIN	49
D.mel.AKA018.fa	STALKER3	49
D.mel.AKA018.fa	Beagle2	49
D.mel.AKA018.fa	INVADER5	48
D.mel.AKA018.fa	TRANSIB3	49
D.mel.AKA018.fa	TC1	49
D.mel.AKA018.fa	BAGGINS	49
D.mel.AKA018.fa	HELITRON1_DM	49
D.mel.AKA018.fa	CIRC	49
D.mel.AKA018.fa	STALKER2	49
D.mel.AKA018.fa	DMRER2DM	49
D.mel.AKA018.fa	DMRER1DM	49
D.mel.AKA018.fa	DMAURA	49
D.mel.AKA018.fa	INVADER	49
D.mel.AKA018.fa	DMREPG	49
D.mel.AKA018.fa	DMGYPF1A	49
D.mel.AKA018.fa	GYPSY5	45
D.mel.AKA018.fa	DME010298	49
D.mel.AKA018.fa	DMPOGOR11	49
D.mel.AKA018.fa	IVK	49
D.mel.AKA018.fa	FB	13
D.mel.AKA018.fa	AF222049	49
D.mel.AKA018.fa	DMTNFB	49
D.mel.AKA018.fa	GYPSY6	49
D.mel.AKA018.fa	QUASIMODO	49
D.mel.AKA018.fa	RT1B	49
D.mel.AKA018.fa	BLOOD	49
D.mel.AKA018.fa	DME487856	49
D.mel.AKA018.fa	DMBARI1	49
D.mel.AKA018.fa	DMRTMGD1	49
D.mel.AKA018.fa	1360	49
D.mel.AKA018.fa	MARINER2	49
D.mel.AKA018.fa	FROGGER	49
D.mel.AKA018.fa	DOC5	49
D.mel.AKA018.fa	INVADER2	49
D.mel.AKA018.fa	ACCORD	49
D.mel.AKA018.fa	Q	5
D.mel.AKA018.fa	DM88	49
D.mel.AKA018.fa	DMCR1A	49
D.mel.AKA018.fa	DMZAM	47
D.mel.AKA018.fa	FW3	49
D.mel.AKA018.fa	DOC4	49
D.mel.AKA018.fa	DIVER2	49
D.mel.AKA018.fa	TRANSIB4	49
D.mel.AKA018.fa	GYPSY7	48
D.mel.AKA018.fa	G7	48
D.mel.AKA018.fa	GYPSY10	49
D.mel.AKA018.fa	QBERT	48
D.mel.AKA018.fa	G5_DM	49
D.mel.AKA018.fa	GYPSY3	47
D.mel.AKA018.fa	INVADER3	49
D.mel.AKA018.fa	GYPSY12	49
D.mel.AKA018.fa	INVADER6	49
D.mel.AKA018.fa	LOOPER1_DM	48
D.mel.AKA018.fa	TRANSIB2	49
D.mel.AKA018.fa	Tinker	49
D.mel.AKA018.fa	DMU89994	49
D.mel.AKA018.fa	412	49
D.mel.AKA018.fa	DMIFACA	49
D.mel.AKA018.fa	DMIS297	49
D.mel.AKA018.fa	JUAN	49
D.mel.AKA018.fa	HOPPER2	49
D.mel.AKA018.fa	DMBLPP	49
D.mel.AKA018.fa	DMTHB1	49
D.mel.AKA018.fa	HEL	49
D.mel.AKA018.fa	DME9736	49
D.mel.AKA018.fa	TIRANT	42
D.mel.AKA018.fa	GYPSY8	42
D.mel.AKA018.fa	GYPSY9	25
D.mel.AKA018.fa	TRANSIB1	49
D.mel.AKA018.fa	G3	48
D.mel.AKA018.fa	STALKER	47
D.mel.AKA018.fa	R1-2	49
D.mel.AKA018.fa	DMTN1731	49
D.mel.AKA018.fa	INVADER4	49
D.mel.AKA018.fa	RT1C	49
D.mel.AKA018.fa	S2	49
D.mel.AKA018.fa	G5A	49
D.mel.AKA018.fa	ROXELEMENT	49
D.mel.AKA018.fa	STALKER4	49
D.mel.AKA018.fa	GYPSY2	48
D.mel.AKA018.fa	DMIS176	49
D.mel.AKA018.fa	GYPSY4	49
D.mel.AKA018.fa	DMW1DOC	49
D.mel.AKA018.fa	DOC2	49
D.mel.AKA018.fa	DMTOM1_LTR	49
D.mel.AKA018.fa	BS3	49
D.mel.AKA018.fa	DOC3	49
D.mel.AKA018.fa	GYPSY11	48
D.mel.AKA018.fa	OSV	49
D.mel.AKA018.fa	ROOA_LTR	48
D.mel.AKA018.fa	DMDM11	49
D.mel.AKA018.fa	G4_DM	49
D.mel.AKA018.fa	DM_ROO	49
D.mel.AKA018.fa	McCLINTOCK	49
D.mel.AKA018.fa	FW2	49
D.mel.AKA018.fa	BS4	49
D.mel.AKA018.fa	DM33463	49
D.mel.AKA018.fa	TC3	49
D.mel.AKA018.fa	ROVER	49
D.mel.AKA018.fa	DME278684	49
D.mel.AKA018.fa	G2	49
D.mel.AKA018.fa	PPI251	28
D.mel.AKA018.fa	DMHFL1	41
D.mel.AKA018.fa	F	49
D.mel.AKA018.fa	SPRINGER	49
D.mel.AKA018.fa	DMLINEJA	49
D.mel.AKA018.fa	BS	49
D.mel.AKA018.fa	DMCOPIA	49
D.mel.AKA018.fa	Beagle	49
D.mel.AKA018.fa	TAHRE	49
D.mel.AKA018.fa	TARTC	35
D.mel.AKA018.fa	INE1	49
D.mel.AKA018.fa	TC1-2	49
D.mel.AKA018.fa	AF541951	49
D.mel.AKA018.fa	JOCKEY2	49
D.mel.AKA018.fa	G6_DM	49
D.mel.B1.fa	DM06920	49
D.mel.B1.fa	ROVER	49
D.mel.B1.fa	DMU89994	49
D.mel.B1.fa	STALKER4	49
D.mel.B1.fa	DMIFACA	49
D.mel.B1.fa	DMTNFB	49
D.mel.B1.fa	F	49
D.mel.B1.fa	DMTRDNA	49
D.mel.B1.fa	STALKER	47
D.mel.B1.fa	TIRANT	42
D.mel.B1.fa	GYPSY5	45
D.mel.B1.fa	GTWIN	49
D.mel.B1.fa	INVADER	49
D.mel.B1.fa	G6_DM	49
D.mel.B1.fa	INVADER5	48
D.mel.B1.fa	BAGGINS	49
D.mel.B1.fa	HELITRON1_DM	49
D.mel.B1.fa	DME010298	49
D.mel.B1.fa	DMLINEJA	49
D.mel.B1.fa	DMPOGOR11	49
D.mel.B1.fa	Tinker	49
D.mel.B1.fa	DM33463	49
D.mel.B1.fa	INVADER3	49
D.mel.B1.fa	DMCOPIA	49
D.mel.B1.fa	BLOOD	49
D.mel.B1.fa	BS	49
D.mel.B1.fa	TABOR	49
D.mel.B1.fa	412	49
D.mel.B1.fa	FROGGER	49
D.mel.B1.fa	ACCORD	49
D.mel.B1.fa	DM88	49
D.mel.B1.fa	Q	5
D.mel.B1.fa	SPRINGER	49
D.mel.B1.fa	DMZAM	47
D.mel.B1.fa	DMAURA	49
D.mel.B1.fa	INVADER2	49
D.mel.B1.fa	GYPSY6	49
D.mel.B1.fa	DIVER2	49
D.mel.B1.fa	FW3	49
D.mel.B1.fa	GYPSY8	42
D.mel.B1.fa	GYPSY7	48
D.mel.B1.fa	G7	48
D.mel.B1.fa	DOC5	49
D.mel.B1.fa	GYPSY10	49
D.mel.B1.fa	QBERT	48
D.mel.B1.fa	G5_DM	49
D.mel.B1.fa	GYPSY3	47
D.mel.B1.fa	GYPSY12	49
D.mel.B1.fa	ROOA_LTR	48
D.mel.B1.fa	INVADER6	49
D.mel.B1.fa	LOOPER1_DM	48
D.mel.B1.fa	TRANSIB2	49
D.mel.B1.fa	DM_ROO	49
D.mel.B1.fa	DME487856	49
D.mel.B1.fa	DMBARI1	49
D.mel.B1.fa	JUAN	49
D.mel.B1.fa	OPUS	49
D.mel.B1.fa	DMW1DOC	49
D.mel.B1.fa	DME278684	49
D.mel.B1.fa	DMMDG3	49
D.mel.B1.fa	HOPPER2	49
D.mel.B1.fa	FB	13
D.mel.B1.fa	DMTHB1	49
D.mel.B1.fa	DMIS297	49
D.mel.B1.fa	DME9736	49
D.mel.B1.fa	TRANSIB1	49
D.mel.B1.fa	G3	48
D.mel.B1.fa	R1-2	49
D.mel.B1.fa	DMTN1731	49
D.mel.B1.fa	INVADER4	49
D.mel.B1.fa	S2	49
D.mel.B1.fa	G5A	49
D.mel.B1.fa	STALKER2	49
D.mel.B1.fa	HEL	49
D.mel.B1.fa	ROXELEMENT	49
D.mel.B1.fa	G2	49
D.mel.B1.fa	GYPSY2	48
D.mel.B1.fa	DOC2	49
D.mel.B1.fa	McCLINTOCK	49
D.mel.B1.fa	GYPSY4	49
D.mel.B1.fa	GYPSY9	25
D.mel.B1.fa	BS3	49
D.mel.B1.fa	DMTOM1_LTR	49
D.mel.B1.fa	RT1C	49
D.mel.B1.fa	DMCR1A	49
D.mel.B1.fa	IVK	49
D.mel.B1.fa	DOC3	49
D.mel.B1.fa	DOC4	49
D.mel.B1.fa	GYPSY11	48
D.mel.B1.fa	OSV	49
D.mel.B1.fa	G4_DM	49
D.mel.B1.fa	1360	49
D.mel.B1.fa	FW2	49
D.mel.B1.fa	BS4	49
D.mel.B1.fa	TC3	49
D.mel.B1.fa	DMGYPF1A	49
D.mel.B1.fa	Beagle2	49
D.mel.B1.fa	Beagle	49
D.mel.B1.fa	AF222049	49
D.mel.B1.fa	DMRTMGD1	49
D.mel.B1.fa	DMBLPP	49
D.mel.B1.fa	QUASIMODO	49
D.mel.B1.fa	INE1	49
D.mel.B1.fa	TC1-2	49
D.mel.B1.fa	AF541951	49
D.mel.B1.fa	JOCKEY2	49
D.mel.B1.fa	TAHRE	49
D.mel.B1.fa	DMREPG	49
D.mel.B1.fa	CIRC	49
D.mel.B1.fa	AY561850	33
D.mel.B1.fa	DM14101	28
D.mel.B1.fa	TARTC	35
D.mel.B1.fa	DMHFL1	41
D.mel.B1.fa	DMRER1DM	49
D.mel.B1.fa	DM23420	49
D.mel.B1.fa	DMIS176	49
D.mel.B1.fa	DMRER2DM	49
D.mel.B1.fa	TRANSIB4	49
D.mel.B1.fa	STALKER3	49
D.mel.B1.fa	TRANSIB3	49
D.mel.B1.fa	TC1	49
D.mel.B1.fa	MARINER2	49
D.mel.B1.fa	DMDM11	49
D.mel.B1.fa	RT1B	49
D.mel.B2.fa	Tinker	49
D.mel.B2.fa	DMMDG3	49
D.mel.B2.fa	Beagle	49
D.mel.B2.fa	DMU89994	49
D.mel.B2.fa	DMW1DOC	49
D.mel.B2.fa	TIRANT	42
D.mel.B2.fa	GTWIN	49
D.mel.B2.fa	INVADER	49
D.mel.B2.fa	INVADER5	48
D.mel.B2.fa	TRANSIB3	49
D.mel.B2.fa	TC1	49
D.mel.B2.fa	MARINER2	49
D.mel.B2.fa	DM88	49
D.mel.B2.fa	BAGGINS	49
D.mel.B2.fa	DME9736	49
D.mel.B2.fa	HELITRON1_DM	49
D.mel.B2.fa	McCLINTOCK	49
D.mel.B2.fa	DMREPG	49
D.mel.B2.fa	DMLINEJA	49
D.mel.B2.fa	DME278684	49
D.mel.B2.fa	DMIS297	49
D.mel.B2.fa	DMTNFB	49
D.mel.B2.fa	F	49
D.mel.B2.fa	DMIS176	49
D.mel.B2.fa	DMHFL1	41
D.mel.B2.fa	FROGGER	49
D.mel.B2.fa	Beagle2	49
D.mel.B2.fa	DOC5	49
D.mel.B2.fa	Q	5
D.mel.B2.fa	DMZAM	47
D.mel.B2.fa	FW3	49
D.mel.B2.fa	DIVER2	49
D.mel.B2.fa	TRANSIB4	49
D.mel.B2.fa	GYPSY8	42
D.mel.B2.fa	GYPSY7	48
D.mel.B2.fa	G7	48
D.mel.B2.fa	GYPSY10	49
D.mel.B2.fa	QBERT	48
D.mel.B2.fa	G5_DM	49
D.mel.B2.fa	GYPSY3	47
D.mel.B2.fa	GYPSY12	49
D.mel.B2.fa	ROOA_LTR	48
D.mel.B2.fa	INVADER6	49
D.mel.B2.fa	DMBARI1	49
D.mel.B2.fa	LOOPER1_DM	48
D.mel.B2.fa	TRANSIB2	49
D.mel.B2.fa	DMRTMGD1	49
D.mel.B2.fa	SPRINGER	49
D.mel.B2.fa	RT1B	49
D.mel.B2.fa	DMPOGOR11	49
D.mel.B2.fa	DMIFACA	49
D.mel.B2.fa	DMTRDNA	49
D.mel.B2.fa	DMCOPIA	49
D.mel.B2.fa	QUASIMODO	49
D.mel.B2.fa	OPUS	49
D.mel.B2.fa	DM23420	49
D.mel.B2.fa	DMBLPP	49
D.mel.B2.fa	DM_ROO	49
D.mel.B2.fa	412	49
D.mel.B2.fa	AF222049	49
D.mel.B2.fa	BS	49
D.mel.B2.fa	HOPPER2	49
D.mel.B2.fa	FB	13
D.mel.B2.fa	TABOR	49
D.mel.B2.fa	IVK	49
D.mel.B2.fa	ROVER	49
D.mel.B2.fa	DMTHB1	49
D.mel.B2.fa	GYPSY6	49
D.mel.B2.fa	HEL	49
D.mel.B2.fa	G2	49
D.mel.B2.fa	GYPSY5	45
D.mel.B2.fa	G6_DM	49
D.mel.B2.fa	TRANSIB1	49
D.mel.B2.fa	G3	48
D.mel.B2.fa	R1-2	49
D.mel.B2.fa	DMTN1731	49
D.mel.B2.fa	DMGYPF1A	49
D.mel.B2.fa	INVADER4	49
D.mel.B2.fa	RT1C	49
D.mel.B2.fa	S2	49
D.mel.B2.fa	G5A	49
D.mel.B2.fa	STALKER4	49
D.mel.B2.fa	STALKER2	49
D.mel.B2.fa	GYPSY2	48
D.mel.B2.fa	GYPSY4	49
D.mel.B2.fa	DOC2	49
D.mel.B2.fa	DMTOM1_LTR	49
D.mel.B2.fa	GYPSY9	25
D.mel.B2.fa	BS3	49
D.mel.B2.fa	ACCORD	49
D.mel.B2.fa	DMCR1A	49
D.mel.B2.fa	1360	49
D.mel.B2.fa	DOC3	49
D.mel.B2.fa	DOC4	49
D.mel.B2.fa	GYPSY11	48
D.mel.B2.fa	OSV	49
D.mel.B2.fa	DMDM11	49
D.mel.B2.fa	G4_DM	49
D.mel.B2.fa	FW2	49
D.mel.B2.fa	BS4	49
D.mel.B2.fa	TC3	49
D.mel.B2.fa	INVADER3	49
D.mel.B2.fa	DM33463	49
D.mel.B2.fa	JUAN	49
D.mel.B2.fa	BLOOD	49
D.mel.B2.fa	ROXELEMENT	49
D.mel.B2.fa	STALKER	47
D.mel.B2.fa	INE1	49
D.mel.B2.fa	TC1-2	49
D.mel.B2.fa	AF541951	49
D.mel.B2.fa	JOCKEY2	49
D.mel.B2.fa	DM14101	28
D.mel.B2.fa	TARTC	35
D.mel.B2.fa	DMAURA	49
D.mel.B2.fa	DME010298	49
D.mel.B2.fa	CIRC	49
D.mel.B2.fa	STALKER3	49
D.mel.B2.fa	INVADER2	49
D.mel.B2.fa	DMRER1DM	49
D.mel.B2.fa	DMRER2DM	49
D.mel.B2.fa	DME487856	49
D.mel.B2.fa	AY561850	33
D.mel.B2.fa	TAHRE	49
D.mel.B2.fa	DM06920	49
D.mel.B3.fa	OPUS	49
D.mel.B3.fa	DMTRDNA	49
D.mel.B3.fa	DMLINEJA	49
D.mel.B3.fa	TIRANT	42
D.mel.B3.fa	DMRER1DM	49
D.mel.B3.fa	GYPSY5	45
D.mel.B3.fa	STALKER3	49
D.mel.B3.fa	DM33463	49
D.mel.B3.fa	Beagle2	49
D.mel.B3.fa	INVADER5	48
D.mel.B3.fa	TRANSIB3	49
D.mel.B3.fa	TC1	49
D.mel.B3.fa	MARINER2	49
D.mel.B3.fa	Tinker	49
D.mel.B3.fa	DM88	49
D.mel.B3.fa	BAGGINS	49
D.mel.B3.fa	HELITRON1_DM	49
D.mel.B3.fa	STALKER	47
D.mel.B3.fa	DMAURA	49
D.mel.B3.fa	INVADER	49
D.mel.B3.fa	DMREPG	49
D.mel.B3.fa	DME010298	49
D.mel.B3.fa	JUAN	49
D.mel.B3.fa	Beagle	49
D.mel.B3.fa	QUASIMODO	49
D.mel.B3.fa	TABOR	49
D.mel.B3.fa	DMU89994	49
D.mel.B3.fa	FROGGER	49
D.mel.B3.fa	RT1B	49
D.mel.B3.fa	GTWIN	49
D.mel.B3.fa	DOC5	49
D.mel.B3.fa	DOC3	49
D.mel.B3.fa	Q	5
D.mel.B3.fa	DMZAM	47
D.mel.B3.fa	QBERT	48
D.mel.B3.fa	GYPSY6	49
D.mel.B3.fa	DIVER2	49
D.mel.B3.fa	FW3	49
D.mel.B3.fa	TRANSIB1	49
D.mel.B3.fa	GYPSY8	42
D.mel.B3.fa	ROXELEMENT	49
D.mel.B3.fa	GYPSY7	48
D.mel.B3.fa	G7	48
D.mel.B3.fa	GYPSY10	49
D.mel.B3.fa	GYPSY3	47
D.mel.B3.fa	FB	13
D.mel.B3.fa	GYPSY12	49
D.mel.B3.fa	INVADER6	49
D.mel.B3.fa	STALKER4	49
D.mel.B3.fa	LOOPER1_DM	48
D.mel.B3.fa	DMCOPIA	49
D.mel.B3.fa	F	49
D.mel.B3.fa	G2	49
D.mel.B3.fa	SPRINGER	49
D.mel.B3.fa	BS	49
D.mel.B3.fa	DMIFACA	49
D.mel.B3.fa	DMHFL1	41
D.mel.B3.fa	DMIS297	49
D.mel.B3.fa	DM23420	49
D.mel.B3.fa	DM06920	49
D.mel.B3.fa	DMTNFB	49
D.mel.B3.fa	DMMDG3	49
D.mel.B3.fa	DMBARI1	49
D.mel.B3.fa	DMBLPP	49
D.mel.B3.fa	AY561850	33
D.mel.B3.fa	HOPPER2	49
D.mel.B3.fa	McCLINTOCK	49
D.mel.B3.fa	DMTHB1	49
D.mel.B3.fa	DME278684	49
D.mel.B3.fa	HEL	49
D.mel.B3.fa	INVADER2	49
D.mel.B3.fa	DMCR1A	49
D.mel.B3.fa	G3	48
D.mel.B3.fa	TRANSIB2	49
D.mel.B3.fa	R1-2	49
