ID	load	families_present
ECA2584	183	0.9432989690721649
ECA2585	179	0.9226804123711341
ECA2598	184	0.9484536082474226
ECA2603	184	0.9484536082474226
ECA2610	182	0.9381443298969072
ECA2641	184	0.9484536082474226
ECA2643	182	0.9381443298969072
ECA2652	181	0.9329896907216495
ECA2653	178	0.9175257731958762
ECA2656	182	0.9381443298969072
ECA2658	181	0.9329896907216495
ECA2672	181	0.9329896907216495
ECA2673	176	0.9072164948453608
ECA2803	180	0.9278350515463918
ECA2862	181	0.9329896907216495
ECA2866	183	0.9432989690721649
ECA2868	184	0.9484536082474226
ECA2870	184	0.9484536082474226
ECA2873	184	0.9484536082474226
ECA2874	184	0.9484536082474226
ECA2881	182	0.9381443298969072
ECA2888	176	0.9072164948453608
ECA2895	182	0.9381443298969072
ECA2901	187	0.9639175257731959
