te	present_in	absent	rarity
rnd-4_family-2292#Unknown	0	1135	0
rnd-4_family-2296#Unknown	1135	0	1
rnd-4_family-2359#LTR/Copia	1135	0	1
rnd-4_family-2387#LTR/Gypsy	405	730	0.3568281938325991
rnd-4_family-2436#Unknown	588	547	0.5180616740088105
rnd-4_family-2585#Unknown	1102	33	0.9709251101321585
rnd-4_family-2649#Unknown	1049	86	0.9242290748898678
rnd-4_family-2722#Unknown	863	272	0.760352422907489
rnd-4_family-2723#Unknown	831	304	0.73215859030837
rnd-4_family-2769#Unknown	1113	22	0.9806167400881057
rnd-4_family-2781#Unknown	1	1134	8.81057268722467e-4
rnd-4_family-29#Unknown	0	1135	0
rnd-4_family-3053#Unknown	1006	129	0.8863436123348017
rnd-4_family-3060#Unknown	1105	30	0.973568281938326
rnd-4_family-3113#DNA/PIF-Harbinger	1135	0	1
rnd-4_family-3115#Unknown	1128	7	0.9938325991189427
rnd-4_family-3121#LTR/Copia	92	1043	0.08105726872246696
rnd-4_family-3123#Unknown	704	431	0.6202643171806167
rnd-4_family-3243#LINE/L1	614	521	0.5409691629955947
rnd-4_family-337#Unknown	1135	0	1
rnd-4_family-338#Unknown	1097	38	0.9665198237885463
rnd-4_family-340#LINE/L1	1113	22	0.9806167400881057
rnd-4_family-3485#LTR/Copia	1133	2	0.9982378854625551
rnd-4_family-3487#LTR/Gypsy	1131	4	0.9964757709251101
rnd-4_family-350#Unknown	1134	1	0.9991189427312775
rnd-4_family-3520#Unknown	1135	0	1
rnd-4_family-3526#DNA/CMC-EnSpm	1135	0	1
rnd-4_family-3544#Unknown	1135	0	1
rnd-4_family-3568#RC/Helitron	1107	28	0.9753303964757709
rnd-4_family-3609#Unknown	1134	1	0.9991189427312775
rnd-4_family-362#Unknown	870	265	0.7665198237885462
rnd-4_family-3684#Unknown	1128	7	0.9938325991189427
rnd-4_family-3719#Unknown	1135	0	1
rnd-4_family-3748#RC/Helitron	1078	57	0.9497797356828194
rnd-4_family-38#Unknown	909	226	0.8008810572687225
rnd-4_family-3803#Unknown	554	581	0.4881057268722467
rnd-4_family-4#LTR/Copia	1068	67	0.9409691629955947
rnd-4_family-4020#DNA/hAT-Tip100	1027	108	0.9048458149779736
rnd-4_family-4027#RC/Helitron	1091	44	0.9612334801762115
rnd-4_family-404#Unknown	1135	0	1
rnd-4_family-4112#Unknown	1090	45	0.960352422907489
rnd-4_family-412#LTR/Copia	1135	0	1
rnd-4_family-4246#LTR/Gypsy	1127	8	0.9929515418502203
rnd-4_family-4259#DNA/hAT-Tip100	1061	74	0.9348017621145375
rnd-4_family-437#Unknown	1133	2	0.9982378854625551
rnd-4_family-4415#LTR/Gypsy	979	156	0.8625550660792951
rnd-4_family-452#LINE/L1	4	1131	0.003524229074889868
rnd-4_family-454#DNA/MULE-MuDR	1135	0	1
rnd-4_family-456#DNA/MULE-MuDR	1128	7	0.9938325991189427
rnd-4_family-458#DNA/MULE-MuDR	1135	0	1
rnd-4_family-497#Unknown	37	1098	0.03259911894273128
rnd-4_family-4983#Unknown	994	141	0.8757709251101321
rnd-4_family-4986#LTR/Copia	106	1029	0.0933920704845815
rnd-4_family-4991#Unknown	730	405	0.6431718061674009
rnd-4_family-502#RC/Helitron	1135	0	1
rnd-4_family-5052#LTR/Gypsy	1135	0	1
rnd-4_family-5085#Unknown	1133	2	0.9982378854625551
rnd-4_family-511#Unknown	1124	11	0.9903083700440528
rnd-4_family-5176#Unknown	0	1135	0
rnd-4_family-5180#LINE/RTE-BovB	1133	2	0.9982378854625551
rnd-4_family-5195#DNA/MULE-MuDR	1134	1	0.9991189427312775
rnd-4_family-5218#LINE/L1	776	359	0.6837004405286343
rnd-4_family-537#Unknown	1036	99	0.9127753303964757
rnd-4_family-5479#DNA/MULE-MuDR	1135	0	1
rnd-4_family-5482#Unknown	978	157	0.8616740088105727
rnd-4_family-5560#DNA/CMC-EnSpm	1131	4	0.9964757709251101
rnd-4_family-5668#LTR/Copia	1134	1	0.9991189427312775
rnd-4_family-5859#Unknown	1062	73	0.9356828193832599
rnd-4_family-586#RC/Helitron	1120	15	0.986784140969163
rnd-4_family-588#RC/Helitron	1132	3	0.9973568281938326
rnd-4_family-5951#LINE/L1	0	1135	0
rnd-4_family-596#LTR/Copia	1135	0	1
rnd-4_family-6022#Unknown	1088	47	0.958590308370044
rnd-4_family-604#LINE/L1	118	1017	0.10396475770925111
rnd-4_family-6180#Unknown	1135	0	1
rnd-4_family-6278#Unknown	1115	20	0.9823788546255506
rnd-4_family-6342#RC/Helitron	1135	0	1
rnd-4_family-6427#Unknown	151	984	0.13303964757709252
rnd-4_family-6456#Unknown	736	399	0.6484581497797357
rnd-4_family-6459#Unknown	10	1125	0.00881057268722467
rnd-4_family-6484#Unknown	0	1135	0
rnd-4_family-653#LINE/L1	1135	0	1
rnd-4_family-657#Unknown	986	149	0.8687224669603524
rnd-4_family-6684#RC/Helitron	904	231	0.7964757709251101
rnd-4_family-672#Unknown	1089	46	0.9594713656387666
rnd-4_family-677#Satellite	1092	43	0.9621145374449339
rnd-4_family-682#DNA/hAT-Tip100	912	223	0.8035242290748899
rnd-4_family-71#Unknown	1098	37	0.9674008810572687
rnd-4_family-7134#Unknown	973	162	0.8572687224669604
rnd-4_family-7168#Unknown	913	222	0.8044052863436123
rnd-4_family-7455#DNA/hAT-Ac	1135	0	1
rnd-4_family-8032#Unknown	1078	57	0.9497797356828194
rnd-4_family-807#DNA/CMC-EnSpm	1068	67	0.9409691629955947
rnd-4_family-862#LINE/L1	0	1135	0
rnd-4_family-865#LINE/L1	0	1135	0
rnd-4_family-885#Unknown	1135	0	1
rnd-4_family-900#Unknown	1134	1	0.9991189427312775
rnd-4_family-9039#LTR/Copia	961	174	0.8466960352422908
rnd-4_family-913#Unknown	1078	57	0.9497797356828194
rnd-4_family-918#Unknown	1134	1	0.9991189427312775
rnd-4_family-9282#Unknown	1046	89	0.9215859030837005
rnd-4_family-969#LINE/L1	1	1134	8.81057268722467e-4
rnd-4_family-977#DNA/MULE-MuDR	1135	0	1
rnd-4_family-9831#DNA/MULE-MuDR	1135	0	1
